name	type	units	low_cutoff	high_cutoff	description
Fp1	EEG	uV	0.0	100.0	EEG channel
Fpz	EEG	uV	0.0	100.0	EEG channel
Fp2	EEG	uV	0.0	100.0	EEG channel
AF7	EEG	uV	0.0	100.0	EEG channel
AF5	EEG	uV	0.0	100.0	EEG channel
AF4	EEG	uV	0.0	100.0	EEG channel
AF8	EEG	uV	0.0	100.0	EEG channel
F7	EEG	uV	0.0	100.0	EEG channel
F5	EEG	uV	0.0	100.0	EEG channel
F3	EEG	uV	0.0	100.0	EEG channel
F1	EEG	uV	0.0	100.0	EEG channel
Fz	EEG	uV	0.0	100.0	EEG channel
F2	EEG	uV	0.0	100.0	EEG channel
F4	EEG	uV	0.0	100.0	EEG channel
F6	EEG	uV	0.0	100.0	EEG channel
F8	EEG	uV	0.0	100.0	EEG channel
FT7	EEG	uV	0.0	100.0	EEG channel
FC5	EEG	uV	0.0	100.0	EEG channel
FC3	EEG	uV	0.0	100.0	EEG channel
FC1	EEG	uV	0.0	100.0	EEG channel
FCz	EEG	uV	0.0	100.0	EEG channel
FC2	EEG	uV	0.0	100.0	EEG channel
FC4	EEG	uV	0.0	100.0	EEG channel
FC6	EEG	uV	0.0	100.0	EEG channel
FT8	EEG	uV	0.0	100.0	EEG channel
T7	EEG	uV	0.0	100.0	EEG channel
C5	EEG	uV	0.0	100.0	EEG channel
C3	EEG	uV	0.0	100.0	EEG channel
C1	EEG	uV	0.0	100.0	EEG channel
Cz	EEG	uV	0.0	100.0	EEG channel
C2	EEG	uV	0.0	100.0	EEG channel
C4	EEG	uV	0.0	100.0	EEG channel
C6	EEG	uV	0.0	100.0	EEG channel
T8	EEG	uV	0.0	100.0	EEG channel
TP7	EEG	uV	0.0	100.0	EEG channel
CP5	EEG	uV	0.0	100.0	EEG channel
CP3	EEG	uV	0.0	100.0	EEG channel
CP1	EEG	uV	0.0	100.0	EEG channel
CPz	EEG	uV	0.0	100.0	EEG channel
CP2	EEG	uV	0.0	100.0	EEG channel
CP4	EEG	uV	0.0	100.0	EEG channel
CP6	EEG	uV	0.0	100.0	EEG channel
TP8	EEG	uV	0.0	100.0	EEG channel
P7	EEG	uV	0.0	100.0	EEG channel
P5	EEG	uV	0.0	100.0	EEG channel
P3	EEG	uV	0.0	100.0	EEG channel
P1	EEG	uV	0.0	100.0	EEG channel
Pz	EEG	uV	0.0	100.0	EEG channel
P2	EEG	uV	0.0	100.0	EEG channel
P4	EEG	uV	0.0	100.0	EEG channel
P6	EEG	uV	0.0	100.0	EEG channel
P8	EEG	uV	0.0	100.0	EEG channel
PO7	EEG	uV	0.0	100.0	EEG channel
PO3	EEG	uV	0.0	100.0	EEG channel
POz	EEG	uV	0.0	100.0	EEG channel
PO2	EEG	uV	0.0	100.0	EEG channel
PO8	EEG	uV	0.0	100.0	EEG channel
O1	EEG	uV	0.0	100.0	EEG channel
Oz	EEG	uV	0.0	100.0	EEG channel
O2	EEG	uV	0.0	100.0	EEG channel
AF9	EEG	uV	0.0	100.0	EEG channel
AF10	EEG	uV	0.0	100.0	EEG channel
Ref1	EEG	uV	0.0	100.0	EEG channel
Ref2	EEG	uV	0.0	100.0	EEG channel
Marker	TRIG	uV	0.0	100.0	Trigger channel
